####gene WT_1 WT_2 WT_3 CTCF_4 CTCF_5 CTCF_6 Med12_7 Med12_8 Smc1_9 Smc1_10
uc009aiv.1 0 0 0 0 0 0 0 0 1 0
uc009aiw.1 36 89 12 27 3 36 4 72 75 164
uc009aix.1 12 16 3 10 9 27 9 24 42 80
uc009aiy.1 1643 3425 589 749 574 1760 686 2334 2695 3912
uc009aiz.1 80 201 54 85 55 158 118 132 141 103
uc009aja.2 53 91 21 11 11 37 36 35 150 143
uc009ajb.1 0 0 0 0 0 0 0 0 0 0
uc009ajc.1 0 0 0 0 0 0 0 0 0 0
uc009ajd.1 0 0 0 0 0 0 0 0 0 0
uc009aje.1 0 0 0 0 0 0 0 0 0 0
uc009ajg.1 24 45 7 11 1 20 3 21 55 93
uc009ajh.1 0 0 0 0 0 0 0 0 0 0
uc009aji.1 89 221 34 76 64 195 99 68 189 146
uc009ajj.1 16 30 6 23 8 41 9 32 38 66
uc009ajk.1 68168 136763 25088 28896 22652 68492 34892 106686 102621 140538
uc009ajl.1 3225 6431 1283 1922 1778 4721 2515 2467 3682 4260
uc009ajm.2 0 0 0 0 0 0 0 0 0 0
uc009ajn.2 12 18 4 8 0 13 0 20 12 59
uc009ajo.2 0 7 0 3 1 7 0 5 9 10
uc009ajp.1 0 0 0 0 0 0 0 0 0 0
uc009ajq.1 0 0 0 0 0 0 0 0 0 0
uc009ajr.1 0 1 0 1 0 1 1 1 1 3
uc009ajs.1 0 0 0 0 0 0 0 0 0 0
uc009ajt.1 0 0 0 0 0 0 0 0 0 0
uc009aju.1 0 0 0 0 0 0 0 0 0 0
uc009ajv.1 0 0 0 0 0 0 0 0 0 0
uc009ajw.2 41 96 11 35 33 84 42 81 149 198
uc009ajx.1 0 0 0 0 0 0 0 0 1 1
uc009ajy.2 265 574 105 132 98 336 230 334 559 623
uc009ajz.1 139 222 37 45 33 125 53 177 124 231
uc009aka.1 0 0 0 0 0 0 0 0 0 0
uc009akb.1 1 0 1 0 0 3 0 0 2 0
uc009akc.2 4 17 3 3 0 10 1 17 18 25
uc009akd.1 1 0 0 0 0 0 1 0 0 0
uc009ake.1 0 0 0 0 0 0 0 0 0 0
uc009akf.1 0 0 0 0 0 0 0 0 0 0
uc009akg.1 4 1 1 1 2 4 4 3 3 5
uc009akh.2 656 1314 241 386 219 816 301 1396 1180 2387
uc009aki.1 6 5 2 2 1 2 1 9 5 10
uc009akj.1 59 112 19 56 48 133 43 179 188 234
uc009akk.1 0 0 0 0 0 0 0 0 0 0
uc009akl.1 3 1 1 0 0 2 0 3 4 2
uc009akm.2 3 20 3 8 3 18 4 14 12 17
uc009akn.2 0 0 0 0 0 0 0 0 0 0
uc009ako.2 3 3 1 2 1 0 4 2 4 2
uc009akp.1 113 273 51 180 37 384 19 499 291 666
uc009akq.2 3 7 2 1 1 3 3 9 3 5
uc009akr.1 0 1 0 0 0 0 0 1 0 1
uc009aks.1 0 0 0 0 0 1 0 0 1 0
uc009akt.1 0 6 0 1 3 3 0 6 1 2
uc009aku.1 440 902 171 253 117 533 91 1104 568 1173
uc009akv.1 2 1 1 0 0 3 1 0 2 9
uc009akw.2 62 17 5 6 3 14 16 27 16 13
uc009akx.2 0 0 0 0 0 0 0 0 0 0
uc009aky.1 4 11 0 4 1 5 0 12 13 28
uc009akz.1 5 12 3 4 0 7 2 5 6 7
uc009ala.1 0 0 0 0 0 0 0 0 0 0
uc009alb.1 0 0 0 0 0 0 0 0 0 0
uc009alc.1 23 45 14 10 7 22 11 48 42 84
uc009ald.1 1 2 0 1 0 4 0 3 5 21
uc009ale.1 1006 2088 288 542 122 1237 122 2724 1618 4044
uc009alf.1 2 2 1 2 0 0 0 1 0 0
uc009alg.1 2106 4358 773 1168 783 2697 1024 3611 3665 5400
uc009alh.1 20 26 6 10 6 26 21 10 17 33
uc009ali.1 0 0 0 0 0 0 0 0 0 0
uc009alj.1 0 0 0 0 0 0 0 0 0 0
uc009alk.1 0 0 0 0 0 0 0 0 0 0
uc009all.1 1 3 0 2 0 2 0 1 6 7
uc009alm.1 0 0 0 0 0 0 0 0 0 0
uc009aln.1 0 0 0 0 0 0 0 1 9 7
uc009alo.2 0 0 0 0 0 0 0 0 0 0
uc009alp.2 0 0 0 0 0 0 0 0 0 0
uc009alq.1 27 69 10 52 28 123 21 117 176 378
uc009als.1 9 26 1 1 1 10 3 20 58 113
uc009alt.1 944 2155 416 783 505 1835 707 2393 2730 3676
uc009alu.1 1 2 0 0 0 4 2 1 4 8
uc009alv.1 0 0 0 0 0 0 0 0 0 0
uc009alw.1 0 0 0 0 0 0 0 0 0 0
uc009alx.1 0 0 0 0 0 0 0 0 0 0
uc009aly.1 0 0 0 0 0 0 0 0 0 0
uc009alz.1 0 0 0 0 0 0 0 0 0 0
uc009ama.1 0 0 0 0 0 0 0 0 0 0
uc009amb.2 0 0 0 0 0 0 0 0 0 0
uc009amc.2 0 0 0 0 0 0 0 0 0 0
uc009ame.1 2071 4582 947 1438 1021 2997 1477 7175 3114 6055
uc009amf.1 90 97 5 6 1 11 3 51 27 102
uc009amg.1 387 584 69 95 85 184 99 426 344 602
uc009amh.2 237 524 83 188 177 466 214 446 429 531
uc009ami.2 1 0 0 0 0 1 0 1 0 0
uc009amj.1 0 0 0 0 0 0 0 0 0 0
uc009amk.1 1156 1916 259 451 395 1071 540 1814 961 1586
uc009aml.1 9 34 5 16 5 38 4 43 31 62
uc009amm.1 42 120 15 31 26 62 21 148 135 198
uc009amn.2 19 29 4 9 3 15 1 25 8 14
uc009amo.2 0 0 0 0 0 0 0 0 0 0
uc009amp.1 0 2 0 0 0 3 0 2 4 7
uc009amq.1 0 0 0 0 0 0 0 0 0 0
uc009amr.1 0 0 0 0 0 0 0 0 0 0
uc009ams.1 0 0 0 0 0 0 0 0 0 0
uc009amt.1 0 0 0 0 0 0 0 0 0 0
uc009amu.1 0 0 0 0 0 0 0 0 0 0
uc009amv.2 0 0 0 0 0 0 0 0 0 0
uc009amx.1 0 0 2 0 0 0 0 3 0 0
uc009amy.1 0 0 0 0 0 0 0 0 0 0
uc009amz.2 0 0 0 0 0 0 0 0 0 0
uc009ana.1 0 1 0 0 0 2 0 0 2 6
uc009anb.1 0 0 0 0 1 0 0 0 0 2
uc009anc.1 2 18 2 2 7 6 6 7 11 21
uc009and.1 20 49 9 17 12 24 21 29 22 45
uc009ane.1 1 3 0 3 1 3 0 6 5 11
uc009anf.1 211 432 99 207 134 421 100 453 546 751
uc009ang.1 0 0 0 0 0 0 0 0 0 0
uc009anh.1 0 0 0 0 0 0 0 0 0 0
uc009ani.1 0 0 0 0 0 0 0 0 0 0
uc009anj.1 409 868 135 325 137 697 121 1383 953 1946
uc009ank.2 5 19 3 3 14 8 5 2 9 5
uc009anl.2 66 92 24 30 22 69 44 122 42 49
uc009anm.1 5 9 3 4 1 5 7 5 9 4
uc009ann.1 0 0 0 0 0 0 0 0 2 0
uc009ano.2 585 1248 236 460 325 1120 451 1436 985 1617
uc009anp.1 0 0 0 0 0 0 0 0 0 0
uc009anq.1 0 0 0 0 0 0 0 0 0 0
uc009anr.1 0 0 0 0 0 0 0 0 0 0
uc009ans.1 0 0 0 0 0 0 0 0 0 0
uc009ant.2 327 742 145 221 143 488 307 906 685 993
uc009anu.1 423 779 108 202 78 395 72 694 330 838
uc009anv.1 832 1476 242 340 194 845 167 1596 788 1857
uc009anw.1 9 12 4 24 20 73 1 0 6 3
uc009anx.1 0 1 0 1 0 0 0 1 0 0
uc009any.2 2 1 0 2 1 6 6 7 7 14
uc009anz.1 17 39 4 11 3 29 5 47 189 246
uc009aoa.2 0 0 1 0 0 0 0 0 1 0
uc009aob.1 5 6 0 7 3 14 2 6 19 33
uc009aoc.1 22 46 9 22 9 26 10 36 29 34
uc009aod.2 11 34 1 8 5 19 22 15 11 32
uc009aoe.2 0 4 0 3 0 0 0 0 3 8
uc009aof.2 0 0 0 0 0 0 0 0 0 0
uc009aog.2 1 1 1 1 0 2 0 3 1 6
uc009aoh.1 14 55 10 13 10 30 7 28 120 189
uc009aoi.1 10 12 1 2 2 20 0 4 32 78
uc009aoj.1 13 37 8 8 19 34 5 32 23 39
uc009aok.1 500 724 157 203 67 362 51 1223 296 625
uc009aol.1 1 0 0 0 0 1 0 1 1 4
uc009aom.1 0 0 0 0 0 0 0 0 0 0
uc009aon.2 4 10 2 7 3 10 12 12 72 101
uc009aoo.1 0 0 0 0 3 0 0 1 0 0
uc009aop.2 0 0 0 0 0 0 0 0 0 0
uc009aoq.2 0 1 0 0 0 0 0 0 2 0
uc009aos.2 1145 2568 573 504 308 1058 344 1854 2311 3133
uc009aot.1 0 0 0 0 0 0 0 0 1 0
uc009aou.1 2 0 1 0 0 1 0 0 0 2
uc009aov.1 0 0 0 0 0 0 0 0 0 0
uc009aow.2 66 149 28 65 42 138 21 206 297 490
uc009aox.1 1 6 1 2 0 3 0 3 4 1
uc009aoy.1 0 3 0 0 0 1 0 2 1 1
uc009aoz.1 4 18 8 15 6 28 4 27 30 56
uc009apa.1 0 4 0 0 0 0 2 2 1 1
uc009apb.1 8 17 4 10 1 13 0 18 19 31
uc009apc.1 3 6 3 3 3 3 3 1 5 9
uc009apd.1 82 118 36 43 23 49 135 180 55 149
uc009ape.1 5 5 1 4 2 5 1 2 5 19
uc009apf.1 0 1 0 1 2 0 1 0 7 0
uc009apg.2 0 0 0 0 0 0 0 0 0 0
uc009aph.2 0 0 0 0 0 0 0 0 0 0
uc009api.2 0 0 0 0 0 0 0 0 0 0
uc009apj.2 2 21 5 10 4 22 0 39 9 38
uc009apk.2 0 0 0 0 0 0 0 0 0 0
uc009apl.2 0 0 0 0 0 0 0 0 0 0
uc009apm.2 0 0 0 0 0 0 0 0 0 0
uc009apn.1 35 81 8 18 4 45 6 45 45 86
uc009apo.1 1 0 0 0 0 2 0 2 5 6
uc009app.1 14 23 2 15 10 34 15 49 18 40
uc009apq.1 0 0 0 0 0 0 0 0 0 1
uc009apr.1 0 0 0 0 0 0 0 0 0 0
uc009aps.1 0 0 0 0 0 0 0 0 0 0
uc009apt.1 0 0 0 0 0 4 0 1 1 3
uc009apu.1 0 0 0 0 0 0 0 0 0 0
uc009apv.1 1 1 1 0 3 1 0 0 1 0
uc009apw.1 1 0 0 0 0 0 0 0 0 0
uc009apx.1 0 4 0 1 0 4 0 3 2 5
uc009apy.1 0 0 0 0 0 0 0 0 0 0
uc009apz.1 0 0 0 0 0 0 0 0 0 0
uc009aqa.1 27 39 8 10 4 44 1 51 40 52
uc009aqb.1 7 23 7 7 4 3 0 32 7 23
uc009aqc.1 102 234 52 49 12 96 15 335 192 399
uc009aqd.1 0 2 0 0 0 0 0 0 0 0
uc009aqe.1 0 0 0 0 0 0 0 0 0 0
uc009aqf.1 0 0 0 0 0 0 0 0 0 0
uc009aqg.1 0 0 0 0 0 0 0 0 0 0
uc009aqh.1 0 0 0 0 0 0 0 0 0 0
uc009aqi.1 0 0 0 0 0 0 0 0 0 0
uc009aqj.1 0 0 0 0 0 0 0 0 0 0
uc009aqk.1 0 0 0 0 0 0 0 0 0 0
uc009aql.1 0 0 0 0 0 0 0 0 0 0
uc009aqm.1 0 0 0 0 0 0 0 0 0 0
uc009aqn.1 0 0 0 0 0 0 0 0 0 0
uc009aqo.1 0 0 0 0 0 0 0 0 0 0
uc009aqp.1 0 0 0 0 0 0 0 0 0 0
uc009aqq.1 0 0 0 0 0 0 0 0 0 0
uc009aqr.1 0 0 0 0 0 0 0 0 0 0
uc009aqs.1 0 0 0 0 0 0 0 0 0 0
uc009aqt.1 0 0 0 0 0 0 0 0 0 0
uc009aqu.1 0 0 0 0 0 0 0 0 0 0
uc009aqv.1 0 0 0 0 0 0 0 0 0 0
uc009aqw.1 0 0 0 0 0 0 0 0 0 0
uc009aqx.1 0 0 0 0 0 0 0 0 0 0
uc009aqy.1 0 0 0 0 0 0 0 0 0 0
uc009aqz.1 0 0 0 0 0 0 0 0 0 0
uc009ara.1 0 0 0 0 0 0 0 0 0 0
uc009arb.1 0 0 0 0 0 0 0 0 0 0
uc009arc.1 0 0 0 0 0 0 0 0 0 0
uc009ard.1 0 0 0 0 0 0 0 0 0 0
uc009are.1 0 0 0 0 0 0 0 0 0 0
uc009arf.1 0 0 0 0 0 0 0 0 0 0
uc009arg.1 0 0 0 0 0 0 0 0 0 0
uc009arh.1 0 0 0 0 0 0 0 0 0 0
uc009ari.1 0 0 0 0 0 0 0 0 0 0
uc009arj.1 0 0 0 0 0 0 0 0 0 0
uc009ark.1 0 0 0 0 0 0 0 0 0 0
uc009arl.1 0 0 0 0 0 0 0 0 0 0
uc009arm.1 0 0 0 0 0 0 0 0 0 0
uc009arn.1 0 0 0 0 0 0 0 0 0 0
uc009aro.1 0 0 0 0 0 0 0 0 0 0
uc009arp.1 0 0 0 0 0 0 0 0 0 0
uc009arq.1 0 0 0 0 0 0 0 0 0 0
uc009arr.1 0 0 0 0 0 0 0 0 0 0
uc009ars.1 0 0 0 0 0 0 0 0 0 0
uc009art.1 0 0 0 0 0 0 0 0 0 0
uc009aru.1 0 0 0 0 0 0 0 0 0 0
uc009arv.1 0 0 0 0 0 0 0 0 0 0
uc009arw.1 0 0 0 0 0 0 0 0 0 0
uc009arx.1 0 0 0 0 0 0 0 0 0 0
uc009ary.1 0 0 0 0 0 0 0 0 0 0
uc009arz.1 0 0 0 0 0 0 0 0 0 0
uc009asa.1 0 0 0 0 0 0 0 0 0 0
uc009asb.1 0 0 0 0 0 0 0 0 0 0
uc009asc.1 0 0 0 0 0 0 0 0 0 0
uc009asd.1 0 0 0 0 0 0 0 0 0 0
uc009ase.1 0 0 0 0 0 0 0 0 0 0
uc009asf.1 0 0 0 0 0 0 0 0 0 0
uc009asg.1 0 0 0 0 0 0 0 0 0 0
uc009ash.1 0 0 0 0 0 0 0 0 0 0
uc009asi.1 0 0 0 0 0 0 0 0 0 0
uc009asj.1 0 0 0 0 0 0 0 0 0 0
uc009ask.1 0 0 0 0 0 0 0 0 0 0
uc009asl.1 0 0 0 0 0 0 0 0 0 0
uc009asm.1 0 0 0 0 0 0 0 0 0 0
uc009asn.1 0 0 0 0 0 0 0 0 0 0
uc009aso.1 0 0 0 0 0 0 0 0 0 0
uc009asp.1 0 0 0 0 0 0 0 0 0 0
uc009asq.1 0 0 0 0 0 0 0 0 0 0
uc009asr.1 0 0 0 0 0 0 0 0 0 0
uc009ass.1 0 0 0 0 0 0 0 0 0 0
uc009ast.1 0 0 0 0 0 0 0 0 0 0
uc009asu.1 0 0 0 0 0 0 0 0 0 0
uc009asv.1 0 0 0 0 0 0 0 0 0 0
uc009asw.1 0 0 0 0 0 0 0 0 0 0
uc009asx.1 0 0 0 0 0 0 0 0 0 0
uc009asy.1 0 0 0 0 0 0 0 0 0 0
uc009asz.1 0 0 0 0 0 0 0 0 0 0
uc009ata.1 0 0 0 0 0 0 0 0 0 0
uc009atb.1 0 0 0 0 0 0 0 0 0 0
uc009atc.1 0 0 0 0 0 0 0 0 0 0
uc009atd.1 0 0 0 0 0 0 0 0 0 0
uc009ate.1 0 0 0 0 0 0 0 0 0 0
uc009atf.1 0 0 0 0 0 0 0 0 0 0
uc009atg.1 0 0 0 0 0 0 0 0 0 0
uc009ath.1 0 0 0 0 0 0 0 0 0 0
uc009ati.1 0 0 0 0 0 0 0 0 0 0
uc009atj.1 0 0 0 0 0 0 0 0 0 0
uc009atk.1 0 0 0 0 0 0 0 0 0 0
uc009atl.1 0 0 0 0 0 0 0 0 0 0
uc009atm.1 0 0 0 0 0 0 0 0 0 0
uc009atn.1 0 0 0 0 0 0 0 0 0 0
uc009ato.1 0 0 0 0 0 0 0 0 0 0
uc009atp.2 0 0 0 0 0 0 0 0 0 0
uc009atq.1 0 0 0 1 0 0 0 0 0 0
uc009atr.2 0 0 0 0 0 0 0 0 0 1
uc009ats.1 20 289 57 108 30 204 19 293 158 302
uc009att.1 0 0 0 0 0 0 0 2 0 0
uc009atv.2 61 140 26 65 37 100 56 206 330 520
uc009atw.1 0 0 0 0 0 0 0 0 0 0
uc009atx.1 0 0 0 0 0 0 0 0 0 0
uc009aty.1 0 0 0 0 0 0 0 0 0 0
uc009atz.1 0 2 0 2 0 6 0 10 4 10
uc009aua.1 0 0 0 0 0 0 0 0 0 0
uc009aub.2 0 0 0 0 0 0 0 0 1 0
uc009auc.2 0 0 0 0 0 0 0 0 0 0
uc009aud.2 1 1 0 0 0 4 1 3 5 10
uc009aue.2 0 0 0 0 0 0 0 0 0 0
uc009auf.1 20 50 8 23 5 39 6 45 198 324
uc009aug.2 39 95 22 14 9 49 2 63 84 182
uc009auh.1 136 322 56 157 21 351 12 629 385 1033
uc009aui.1 5 14 0 5 0 14 0 13 17 43
uc009auj.1 0 0 0 0 0 0 0 0 0 0
uc009auk.2 0 1 0 0 0 0 0 0 0 0
uc009aul.2 1 5 0 2 0 3 0 15 8 4
uc009aum.2 0 0 0 0 0 0 0 0 0 0
uc009aun.2 0 0 0 0 0 0 0 0 0 0
uc009auo.2 0 0 0 0 0 0 0 0 0 3
uc009aup.1 3 6 0 1 2 0 0 4 7 2
uc009auq.1 0 8 0 6 2 12 1 2 9 11
uc009aur.1 0 4 1 8 1 22 0 5 14 19
uc009aus.1 0 0 0 0 0 0 0 0 0 0
uc009aut.1 8 12 2 0 0 5 0 9 8 21
uc009auu.1 0 0 0 0 0 0 0 0 0 0
uc009auv.1 0 4 0 0 0 1 0 0 0 3
uc009auw.1 7 17 2 2 1 0 0 20 5 14
uc009aux.1 7 29 5 5 1 11 2 31 21 47
uc009auy.2 53 93 18 11 0 16 5 126 90 301
uc009auz.1 1 3 1 3 0 5 0 7 6 7
uc009ava.2 1 5 0 1 1 2 0 1 1 0
uc009avb.2 1 8 0 2 0 2 0 4 7 16
uc009avc.2 0 0 0 0 0 0 0 0 0 0
uc009avd.2 3 13 3 7 0 5 0 16 8 24
uc009ave.1 0 0 0 0 0 0 0 0 0 0
uc009avf.1 0 0 0 0 0 0 0 0 0 2
uc009avg.1 0 0 0 0 0 0 0 0 0 0
uc009avh.1 1 0 0 1 0 1 0 2 0 10
uc009avi.1 1 0 0 0 0 0 0 0 0 0
uc009avj.1 7 10 0 4 1 5 1 14 17 30
uc009avk.1 107 249 43 62 19 172 31 457 248 779
uc009avl.1 0 0 0 0 0 0 0 2 0 0
uc009avm.1 13 37 5 8 3 17 3 9 33 33
uc009avn.1 0 1 0 0 0 0 0 0 0 0
uc009avo.1 227 463 90 140 34 323 24 655 773 1896
uc009avp.2 0 0 0 0 0 0 0 0 0 0
uc009avq.2 0 0 0 0 0 0 0 0 0 0
uc009avr.2 0 0 0 0 0 0 0 0 0 0
uc009avs.2 0 0 0 0 0 0 0 0 0 0
uc009avt.2 0 0 0 0 0 0 0 0 0 0
uc009avu.2 0 1 0 1 1 0 0 0 2 2
uc009avv.1 2348 5244 1299 1251 705 2593 1143 4921 5942 7556
uc009avw.1 0 0 0 0 0 0 0 0 0 0
uc009avx.1 0 1 0 0 0 0 1 0 2 2
uc009avy.1 0 0 0 0 0 0 0 0 0 0
uc009avz.1 0 0 0 0 0 0 0 0 0 0
uc009awa.1 4 6 1 2 2 1 5 0 7 3
uc009awb.1 0 1 0 0 0 0 0 1 3 0
uc009awc.1 0 5 0 1 0 1 0 3 5 6
uc009awd.2 0 0 0 0 0 1 0 0 3 0
uc009awe.1 0 0 0 0 0 0 0 0 0 0
uc009awf.1 53 133 14 26 6 60 23 150 94 238
uc009awg.1 0 0 0 0 1 0 1 0 1 3
uc009awh.1 0 0 0 0 0 0 0 2 0 0
uc009awi.1 0 0 0 0 0 0 0 0 0 0
uc009awj.1 0 0 0 0 0 0 0 0 0 0
uc009awk.1 63 138 23 49 21 86 14 155 101 218
uc009awl.2 0 0 0 0 0 0 0 0 0 0
uc009awm.2 0 0 0 0 0 0 0 0 0 0
uc009awo.1 1 0 0 0 0 0 0 0 0 0
uc009awp.2 0 0 0 0 0 0 0 0 0 0
uc009awq.2 0 0 0 0 0 0 0 0 0 0
uc009awr.1 0 0 0 0 0 0 0 0 0 0
uc009aws.1 862 1301 257 427 224 795 380 3380 981 2131
uc009awt.1 0 0 0 0 0 0 0 0 0 0
uc009awu.1 0 0 0 0 0 0 0 0 0 0
uc009aww.1 0 0 1 1 1 0 2 5 1 0
uc009awx.1 0 0 0 0 0 0 0 0 0 0
uc009awy.1 0 0 0 0 0 0 0 0 0 0
uc009awz.1 0 0 0 0 0 0 0 0 0 0
uc009axa.1 42 92 9 29 8 50 14 169 100 278
uc009axb.1 0 0 0 0 0 0 0 0 0 0
uc009axc.1 0 0 0 0 0 0 0 0 0 0
uc009axd.2 0 0 0 0 0 0 0 0 0 0
uc009axe.1 0 0 0 0 0 0 0 0 0 1
uc009axf.1 5169 10181 1704 2081 932 4460 688 10575 10341 21405
uc009axg.2 215 520 86 199 23 405 20 885 619 1805
uc009axh.1 0 0 1 0 0 0 0 0 0 0
uc009axi.1 0 0 0 0 0 0 0 0 0 0
uc009axj.1 0 0 0 0 0 0 0 0 0 0
uc009axk.2 367 869 132 251 45 595 47 1392 854 2370
uc009axl.2 249 592 77 145 38 329 39 1038 352 1124
uc009axm.2 0 0 0 0 0 0 0 0 0 0
uc009axn.2 0 0 0 0 0 0 0 0 0 0
uc009axo.2 0 0 0 0 0 0 0 0 0 0
uc009axp.1 1 0 0 0 0 0 0 0 0 0
uc009axq.1 0 0 0 0 0 0 0 0 0 0
uc009axr.1 0 0 0 0 0 0 0 0 0 0
uc009axs.1 2 2 0 1 0 1 0 6 5 4
uc009axt.1 4 4 0 3 3 1 3 0 2 2
uc009axu.1 0 0 0 0 0 0 0 0 0 0
uc009axv.1 0 0 0 0 0 0 0 0 0 0
uc009axw.1 2 3 1 3 0 2 0 5 4 14
uc009axx.1 0 0 0 0 0 0 0 0 0 0
uc009axy.1 2 0 0 0 0 0 0 0 1 0
uc009axz.1 0 0 0 0 0 0 0 4 2 7
uc009aya.1 0 0 0 0 0 0 0 0 0 0
uc009ayb.1 0 0 0 0 0 0 0 0 0 0
uc009ayc.1 0 0 0 0 0 0 0 0 0 3
uc009ayd.1 1159 2408 322 550 211 1431 255 3088 1487 3388
uc009aye.2 11 16 2 5 1 13 0 34 27 78
uc009ayf.1 10 34 5 7 0 10 2 38 18 67
uc009ayg.2 29 22 3 7 0 19 0 28 18 102
uc009ayh.1 43 34 9 11 3 25 3 42 98 149
uc009ayj.2 7 9 1 6 3 26 5 31 68 88
uc009ayk.2 449 913 179 350 63 765 37 1293 1744 4022
uc009ayl.1 0 0 0 0 0 1 0 1 1 2
uc009aym.1 0 0 0 0 0 0 0 0 0 0
uc009ayn.1 167 257 39 71 0 158 0 291 251 684
uc009ayo.1 0 0 0 0 0 0 0 0 0 0
uc009ayq.1 7 10 1 5 0 6 0 36 16 45
uc009ayr.1 0 0 0 0 0 0 0 0 0 1
uc009ays.1 1 6 0 1 1 6 0 2 3 3
uc009ayt.2 0 0 0 0 0 0 0 0 0 0
uc009ayu.1 22 72 9 20 0 38 4 163 85 198
uc009ayv.1 0 1 0 1 0 0 0 0 2 2
uc009ayw.1 0 0 0 0 0 0 0 0 0 2
uc009ayx.1 0 0 0 0 0 0 0 1 0 2
uc009ayy.1 0 0 0 0 0 0 0 0 1 0
uc009ayz.1 0 0 0 0 0 0 0 0 0 0
uc009aza.1 0 0 0 0 0 0 0 0 0 0
uc009azb.2 1 2 0 0 0 4 1 14 11 32
uc009azc.2 0 0 0 0 0 0 0 0 0 0
uc009azd.2 0 0 0 0 0 0 0 0 0 0
uc009aze.2 0 0 0 0 0 0 0 0 0 0
uc009azf.2 0 0 0 0 0 0 0 0 0 0
uc009azg.1 0 0 0 1 0 2 0 0 0 0
uc009azh.1 0 1 0 0 0 0 0 2 0 1
uc009azi.1 0 0 0 0 0 0 0 0 0 0
uc009azj.1 0 0 0 0 0 0 0 0 0 0
uc009azk.1 0 0 0 0 0 0 0 0 0 0
uc009azl.1 0 0 0 0 0 0 0 0 0 0
uc009azm.1 0 0 0 0 0 0 0 0 0 1
uc009azn.1 3 14 3 3 0 6 0 17 17 46
uc009azo.1 0 0 0 0 0 0 0 0 0 0
uc009azp.1 0 0 0 0 0 0 0 0 0 0
uc009azq.1 0 0 0 0 0 0 0 1 0 1
uc009azr.1 52 86 17 62 9 107 3 243 227 570
uc009azs.1 28 47 11 13 3 46 0 64 63 155
uc009azt.1 976 1948 291 492 20 1114 25 2581 1642 4989
uc009azu.1 0 0 0 0 0 0 0 0 0 0
uc009azv.1 0 0 0 0 0 0 0 0 0 0
uc009azw.1 0 0 0 0 0 0 0 0 0 0
uc009azx.1 0 0 0 0 0 0 0 0 0 0
uc009azy.1 0 0 0 0 0 0 0 0 0 0
uc009azz.1 0 0 0 0 0 0 0 0 0 0
uc009baa.1 0 0 0 0 0 0 0 0 0 0
uc009bab.1 2 9 0 0 0 0 1 5 5 16
uc009bac.1 0 0 0 0 0 0 0 0 0 0
uc009bad.1 0 0 0 0 0 0 0 0 0 0
uc009bae.1 0 0 0 0 0 0 0 0 0 0
uc009baf.1 1 1 0 2 0 4 0 7 7 7
uc009bag.2 0 0 0 0 0 0 1 2 4 5
uc009bah.2 3 3 0 0 0 0 0 0 6 6
uc009bai.1 5 6 0 5 1 10 0 14 28 58
uc009baj.1 0 0 0 0 0 0 0 0 0 0
uc009bak.1 0 0 0 0 0 1 0 0 0 1
uc009bal.1 0 0 0 0 0 0 0 0 0 0
uc009bam.1 0 0 0 0 0 0 0 0 0 0
uc009ban.1 0 3 0 0 0 0 0 1 1 0
uc009bao.1 462 719 101 193 84 456 139 919 698 1941
uc009bap.1 0 0 0 0 0 0 0 0 0 0
uc009baq.1 3 5 1 2 0 2 2 6 7 18
uc009bar.1 1 2 0 0 0 0 0 1 0 2
uc009bas.1 0 0 0 0 0 0 0 0 0 1
uc009bat.1 0 0 0 0 0 0 0 0 0 0
uc009bau.1 0 0 0 0 0 0 0 0 0 0
uc009bav.1 4 17 4 2 4 11 3 31 17 19
uc009baw.2 0 0 0 0 0 0 0 0 0 3
uc009bax.2 0 1 0 1 0 0 0 1 1 1
uc009bay.1 0 0 0 0 0 0 0 0 0 0
uc009baz.1 0 0 0 0 0 0 0 0 0 0
uc009bba.1 1 2 2 1 0 1 0 4 1 7
uc009bbb.1 0 0 0 0 0 0 0 0 0 0
uc009bbc.2 15 33 6 37 10 87 3 58 41 77
uc009bbd.2 0 0 0 0 0 3 0 0 2 1
uc009bbe.1 0 0 0 0 0 0 0 0 0 0
uc009bbf.1 0 0 0 0 0 0 0 0 0 0
uc009bbg.1 0 0 0 0 0 0 0 0 0 0
uc009bbh.2 1 1 0 0 0 0 0 2 2 4
uc009bbi.1 0 0 0 0 0 0 0 0 0 0
uc009bbj.1 0 1 0 0 0 0 0 0 1 3
uc009bbk.1 0 0 0 0 0 0 0 1 0 0
uc009bbl.2 0 1 0 0 0 0 0 0 0 2
uc009bbm.1 0 0 0 0 0 0 0 0 1 2
uc009bbn.1 0 0 0 0 0 0 0 0 0 0
uc009bbo.2 0 0 0 0 0 0 0 0 0 0
uc009bbp.2 0 0 0 0 0 0 0 0 0 0
uc009bbq.1 7 15 4 6 2 12 4 10 23 31
uc009bbr.2 10 12 2 2 0 8 2 26 7 32
uc009bbs.1 346 723 107 171 69 328 56 1079 281 658
uc009bbt.2 0 1 0 0 0 0 0 0 0 0
uc009bbu.1 0 0 0 0 0 0 0 0 0 0
uc009bbv.2 406 947 217 395 79 836 84 2088 1401 3217
uc009bbw.1 0 0 0 0 0 1 0 0 0 1
uc009bbx.1 0 0 0 0 0 0 0 0 0 0
uc009bby.1 0 0 0 0 0 0 0 0 0 0
uc009bbz.1 0 0 0 0 0 0 0 0 0 0
