####gene WT_1 WT_2 WT_3 CTCF_4 CTCF_5 CTCF_6 Med12_7 Med12_8 Smc1_9 Smc1_10
uc007aje.1 0 0 0 1 0 1 0 0 3 17
uc007ajf.1 0 0 0 0 0 0 0 0 0 0
uc007ajg.1 22 62 11 19 4 56 0 93 63 151
uc007ajh.1 0 0 0 0 0 0 0 0 0 0
uc007aji.1 0 0 0 0 0 0 0 0 0 0
uc007ajj.1 0 3 0 0 0 2 0 3 4 9
uc007ajk.1 1 1 1 1 1 5 0 1 5 8
uc007ajl.2 20188 41720 6184 13130 6436 29491 5603 77222 32870 71140
uc007ajm.1 134 272 46 51 22 123 16 161 222 492
uc007ajn.2 0 0 0 0 0 0 0 0 0 0
uc007ajo.2 0 0 0 0 0 0 0 0 0 0
uc007ajq.2 41 84 11 42 5 99 4 79 232 481
uc007ajr.2 3 7 0 3 0 3 1 4 7 13
uc007ajs.1 0 0 1 0 0 0 0 1 3 5
uc007ajt.1 194 353 58 119 6 255 3 601 439 1332
uc007aju.1 6 9 0 5 0 6 0 18 12 22
uc007ajv.1 0 0 1 0 4 1 0 1 2 2
uc007ajw.1 4 4 1 2 0 3 10 16 5 5
uc007ajx.1 0 0 0 0 0 0 0 0 0 0
uc007ajy.1 0 0 0 0 0 0 0 0 0 0
uc007ajz.2 0 0 0 0 0 0 0 0 0 0
uc007aka.1 59 101 28 155 86 312 83 395 339 568
uc007akb.2 1 0 0 0 0 0 0 0 0 0
uc007akc.2 1 2 0 2 1 2 0 7 0 9
uc007akd.1 0 0 0 0 0 0 0 0 0 0
uc007ake.2 0 5 0 0 0 1 0 5 2 6
uc007akf.1 0 0 2 0 0 4 0 3 2 5
uc007akg.1 0 0 0 0 0 0 0 0 0 0
uc007akh.1 0 1 0 2 0 3 4 2 3 4
uc007aki.1 0 0 0 0 0 0 0 0 0 0
uc007akj.1 0 0 0 0 0 0 0 0 0 0
uc007akk.1 0 0 0 0 0 0 0 0 0 0
uc007akl.1 0 0 0 0 0 0 0 0 0 2
uc007akm.1 0 0 0 0 0 0 0 0 0 0
uc007akn.2 0 1 0 0 0 0 0 0 0 0
uc007ako.1 0 0 0 0 0 0 0 0 0 0
uc007akp.1 0 0 0 0 0 1 0 1 0 0
uc007akq.1 0 0 0 0 0 0 0 0 0 0
uc007akr.1 0 0 0 0 0 0 0 0 0 0
uc007aks.1 0 0 0 0 0 0 0 0 0 0
uc007akt.1 0 0 0 0 0 0 0 0 0 0
uc007aku.1 0 0 0 0 0 0 0 0 0 0
uc007akv.1 9 39 2 16 3 32 1 39 57 92
uc007akw.1 0 0 0 0 0 0 0 0 0 0
uc007akx.1 0 0 0 0 0 0 0 0 0 0
uc007aky.1 0 0 0 0 0 0 0 0 0 0
uc007akz.1 0 0 0 0 0 0 0 0 0 0
uc007ala.1 0 0 0 0 0 1 0 0 0 1
uc007alb.1 0 6 0 0 0 0 0 1 0 11
uc007alc.1 6569 13196 2379 3497 2432 8005 2543 13769 8456 13736
uc007ald.1 1 0 0 0 0 1 0 0 0 0
uc007ale.1 0 0 0 1 0 0 0 0 2 0
uc007alf.2 19 34 14 24 12 58 6 83 78 121
uc007alg.1 27 54 17 38 22 59 14 85 54 99
uc007alh.1 0 2 0 1 0 0 0 7 4 3
uc007ali.1 3 1 0 0 0 1 0 0 1 4
uc007alj.1 0 0 0 0 0 0 0 0 0 0
uc007alk.1 0 0 0 0 0 0 0 0 0 0
uc007all.1 0 0 0 0 0 0 0 0 0 0
uc007alm.1 0 0 0 0 0 0 0 0 0 0
uc007aln.1 0 0 0 0 0 0 0 0 1 1
uc007alo.1 0 0 0 0 0 0 0 0 0 0
uc007alp.2 0 0 0 0 0 0 0 0 0 1
uc007alq.2 0 0 0 0 0 0 0 0 0 0
uc007alr.1 0 0 0 0 0 0 0 0 0 0
uc007als.1 1 1 0 0 1 0 0 0 0 0
uc007alt.1 0 0 0 0 0 0 0 0 0 0
uc007alu.1 0 0 0 0 0 0 0 0 0 0
uc007alv.1 0 0 0 0 0 0 0 0 0 0
uc007alw.1 0 0 0 0 0 0 0 0 0 0
uc007alx.1 1 0 0 0 0 0 0 0 0 0
uc007aly.1 0 0 0 0 0 0 0 0 0 0
uc007alz.1 0 0 0 0 0 0 0 0 0 0
uc007ama.2 0 0 0 0 0 0 0 0 0 0
uc007amb.1 122 235 32 118 62 278 54 778 292 797
uc007amc.1 0 0 0 0 0 0 0 0 0 0
uc007amd.1 0 0 0 0 0 0 0 0 0 1
uc007ame.1 6 1 1 0 0 0 0 4 1 9
uc007amf.1 1 7 0 4 2 2 0 2 2 9
uc007amg.1 0 0 0 0 0 0 0 0 0 0
uc007amh.1 19 66 5 18 15 21 40 11 24 35
uc007ami.1 1 3 0 0 0 0 0 4 4 4
uc007amj.2 74 152 16 39 22 109 19 181 140 401
uc007amk.2 0 0 0 0 0 0 0 0 0 0
uc007aml.2 32 75 6 24 7 81 8 148 128 323
uc007amn.2 11 13 4 9 0 25 0 34 36 112
uc007amo.2 0 1 0 0 0 0 0 1 0 0
uc007amp.2 0 0 0 0 0 0 0 0 0 0
uc007amq.1 0 0 0 0 0 0 0 0 0 0
uc007amr.1 0 0 0 0 0 0 0 0 0 0
uc007ams.1 0 1 1 0 1 0 1 1 0 2
uc007amt.1 1 2 0 3 0 6 0 0 4 7
uc007amu.1 0 0 0 0 1 0 0 0 0 0
uc007amv.2 0 0 0 0 0 0 0 0 0 0
uc007amw.2 0 0 0 0 0 0 0 0 0 0
uc007amy.1 1 1 0 0 0 5 0 1 3 14
uc007amz.2 0 0 0 0 0 0 0 0 0 0
uc007ana.1 0 0 0 0 0 0 0 0 0 0
uc007anb.1 1 0 0 0 0 0 0 0 0 0
uc007anc.1 0 0 0 0 0 0 0 0 0 0
uc007and.1 0 0 0 0 0 0 0 0 0 0
uc007ane.1 2822 6435 1302 1955 739 4285 673 10755 7589 17508
uc007anf.1 2 9 1 2 1 8 0 9 13 22
uc007ang.1 4 13 2 3 1 13 1 22 17 58
uc007anh.1 0 0 0 0 0 0 0 0 0 1
uc007ani.1 0 0 0 0 0 0 0 0 0 0
uc007anj.2 0 0 0 0 0 0 0 0 0 0
uc007ank.1 0 0 0 0 0 0 0 0 0 0
uc007anl.2 0 0 0 0 0 0 0 2 0 0
uc007anm.1 0 0 0 0 0 0 0 0 0 0
uc007ann.1 3 1 0 3 0 8 0 7 7 34
uc007ano.1 0 0 0 0 0 2 0 0 2 5
uc007anp.1 0 0 0 0 0 2 0 0 3 3
uc007anq.1 397 856 196 193 103 408 101 1694 598 1428
uc007anr.1 2 7 0 4 0 3 1 7 11 6
uc007ans.1 0 0 1 0 0 0 0 0 0 0
uc007ant.2 4 4 0 2 0 1 3 4 3 6
uc007anu.1 2 17 5 19 1 17 0 25 26 42
uc007anv.1 2 1 0 1 0 7 0 1 6 17
uc007anw.2 0 0 0 0 0 0 0 0 0 0
uc007anx.2 0 2 0 1 2 0 0 2 0 0
uc007any.1 70 170 35 104 76 281 45 387 287 568
uc007anz.1 48 53 10 29 2 48 0 85 52 193
uc007aoa.1 0 0 0 0 0 0 0 0 0 0
uc007aob.1 78 197 42 39 21 113 5 217 178 358
uc007aoc.1 0 0 0 0 0 0 0 0 0 0
uc007aod.1 0 0 0 0 0 0 0 0 0 0
uc007aoe.1 0 0 0 1 0 3 0 1 0 0
uc007aof.1 18 33 10 28 15 40 22 23 57 121
uc007aog.1 3 0 0 2 0 6 0 0 2 3
uc007aoh.1 0 0 0 0 0 0 0 0 0 1
uc007aoi.1 1310 2831 470 944 448 2206 445 4027 5504 9670
uc007aoj.1 0 0 0 0 0 0 0 0 0 0
uc007aok.1 4 7 3 5 2 5 2 20 20 19
uc007aol.1 143 301 65 108 64 246 114 729 1128 1959
uc007aom.1 1 4 0 0 2 2 0 2 3 6
uc007aon.1 62 121 19 45 26 72 23 167 214 413
uc007aoo.1 0 0 0 0 0 0 0 0 0 0
uc007aop.1 0 0 0 0 0 0 0 0 0 0
uc007aor.2 1482 3036 547 552 389 1157 650 2729 1477 2052
uc007aos.1 9 20 2 12 8 31 14 26 74 120
uc007aot.1 0 0 0 0 2 0 0 0 0 2
uc007aou.1 2 1 0 0 1 0 0 2 5 4
uc007aov.1 0 0 0 1 1 5 0 5 6 3
uc007aow.1 1 3 0 2 0 5 0 2 51 51
uc007aox.1 0 0 0 0 0 0 0 0 0 1
uc007aoz.1 0 0 0 0 0 0 0 0 0 0
uc007apa.1 0 0 0 0 0 0 0 0 0 0
uc007apb.1 0 0 0 0 0 0 0 0 0 0
uc007apc.1 0 0 0 0 0 0 0 0 0 0
uc007apd.1 0 0 0 0 0 0 0 0 0 0
uc007ape.1 0 0 0 0 0 5 4 1 7 8
uc007apf.1 2 9 1 10 6 25 3 23 76 98
uc007apg.1 0 0 0 0 0 0 0 0 0 0
uc007aph.1 2 2 0 2 0 0 0 5 4 14
uc007api.1 0 0 0 0 0 0 0 0 0 0
uc007apj.2 0 0 0 0 0 0 0 0 0 0
uc007apk.1 2 7 0 4 1 13 1 17 18 40
uc007apl.1 224 390 78 102 52 244 31 226 621 1098
uc007apm.1 0 0 0 0 0 1 0 0 0 1
uc007apn.2 1323 2713 528 821 527 1678 505 1310 1819 2562
uc007apo.2 7 12 3 2 1 8 0 11 16 12
uc007app.2 1 2 0 2 0 2 0 1 1 11
uc007apq.2 0 0 0 0 0 0 0 0 0 0
uc007apr.2 1 8 1 0 0 6 0 4 6 8
uc007aps.1 2 2 1 1 0 4 1 6 0 1
uc007apt.1 0 0 0 0 0 0 0 0 1 0
uc007apu.2 0 0 0 0 0 0 0 0 0 0
uc007apv.2 0 0 0 0 0 0 0 0 0 0
uc007apw.2 0 1 0 0 1 3 0 0 0 0
uc007apx.2 0 0 0 0 0 0 0 0 0 0
uc007apy.2 0 0 0 0 0 0 0 0 0 0
uc007apz.1 0 0 0 0 0 0 0 0 0 0
uc007aqa.1 0 0 0 0 0 0 0 0 0 0
uc007aqb.1 0 0 0 0 0 0 0 0 0 4
uc007aqc.1 7 6 2 9 2 12 2 7 29 46
uc007aqd.1 0 0 0 0 0 0 0 0 0 0
uc007aqe.1 0 0 0 0 0 0 0 0 0 0
